Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
Russe,Ostend,1886.0km,23.38,58.03%,32.31ms,33.05ms,0.29ms,2022-01-07 05:05:23
Russe,Blaabjerg,1898.0km,28.520000000000003,33.51%,47.60ms,50.23ms,0.53ms,2022-01-07 04:10:52
Russe,Nicosia,1320.0km,50.379999999999995,13.88%,87.24ms,94.98ms,2.68ms,2022-01-07 04:25:02
Russe,Kilmore-Quay,2672.0km,36.015,42.21%,60.00ms,75.90ms,2.98ms,2022-01-07 04:08:13
Russe,Penmarch,2462.0km,27.625,50.57%,36.81ms,39.46ms,0.71ms,2022-01-07 04:33:57
Russe,Kilkis,542.0km,26.314999999999998,15.44%,29.17ms,61.06ms,8.30ms,2022-01-07 04:45:17
Russe,Haskavo,520.0km,12.93,32.56%,9.44ms,10.34ms,0.21ms,2022-01-07 04:42:26
Russe,Komotini,740.0km,22.305,15.44%,29.17ms,61.06ms,8.30ms,2022-01-07 04:45:17
Russe,Gevgelija,581.0km,24.509999999999998,15.44%,29.17ms,61.06ms,8.30ms,2022-01-07 04:45:17
Russe,Petrich,622.0km,19.715,15.44%,29.17ms,61.06ms,8.30ms,2022-01-07 04:45:17
Russe,Promachonas,604.0km,26.625,15.44%,29.17ms,61.06ms,8.30ms,2022-01-07 04:45:17
Russe,Alexandroupolis,795.0km,18.58,15.44%,29.17ms,61.06ms,8.30ms,2022-01-07 04:45:17
Russe,Kesan,676.0km,32.45,10.60%,42.30ms,45.39ms,0.58ms,2022-01-07 04:20:11
Russe,Nahariya,1692.0km,60.410000000000004,14.39%,85.95ms,191.29ms,27.85ms,2022-01-07 04:44:52
Russe,Corfu,932.0km,21.665,18.12%,34.02ms,34.85ms,0.28ms,2022-01-07 04:45:28
Russe,Chania,1070.0km,25.63,21.26%,21.92ms,70.01ms,12.66ms,2022-01-07 05:00:44
Russe,Yeroskipos,1299.0km,46.275,13.88%,87.24ms,94.98ms,2.68ms,2022-01-07 04:25:02
Russe,Marmaris,936.0km,17.955,35.37%,18.99ms,21.67ms,0.48ms,2022-01-07 04:20:21
Russe,Haifa,1662.0km,56.260000000000005,14.39%,85.95ms,191.29ms,27.85ms,2022-01-07 04:44:52
Russe,Suez,1798.0km,48.12,20.74%,80.20ms,81.92ms,0.42ms,2022-01-07 04:07:01
Russe,Conil,3396.0km,58.68,28.94%,86.41ms,154.33ms,23.46ms,2022-01-07 04:14:44
Russe,Sesimbra,3020.0km,41.165000000000006,40.82%,73.66ms,75.85ms,0.49ms,2022-01-07 04:25:25
Russe,Mazara,1402.0km,40.255,21.56%,58.68ms,63.42ms,1.08ms,2022-01-07 04:33:32
Russe,Estepona,3425.0km,56.8249,28.94%,86.41ms,154.33ms,23.46ms,2022-01-07 04:14:44
Russe,Catania,1482.0km,35.655,21.56%,58.68ms,63.42ms,1.08ms,2022-01-07 04:33:32
